date,open,high,low,close,volume,average,barCount
2025-05-09 10:45:00-04:00,413.04,413.11,412.27,412.96,23687.0,412.723,158
2025-05-09 11:00:00-04:00,413.01,413.27,412.51,412.74,47443.0,412.988,170
2025-05-09 11:15:00-04:00,412.66,413.02,412.44,412.9,24245.0,412.665,127
2025-05-09 11:30:00-04:00,412.91,413.26,412.53,413.09,18874.0,412.946,117
2025-05-09 11:45:00-04:00,413.11,413.55,412.95,413.47,51837.0,413.191,294
2025-05-09 12:00:00-04:00,413.53,413.53,412.17,412.64,26593.0,412.776,161
2025-05-09 12:15:00-04:00,412.82,412.87,412.2,412.21,21507.0,412.564,124
2025-05-09 12:30:00-04:00,412.23,412.49,411.94,412.05,16766.0,412.196,92
2025-05-09 12:45:00-04:00,411.85,412.08,411.57,411.74,15245.0,411.773,112
2025-05-09 13:00:00-04:00,411.72,412.28,411.57,411.98,16045.0,411.931,125
2025-05-09 13:15:00-04:00,411.92,412.64,411.66,412.37,57446.0,412.124,406
2025-05-09 13:30:00-04:00,412.41,412.96,412.05,412.85,21351.0,412.525,105
2025-05-09 13:45:00-04:00,412.99,413.24,412.65,413.16,12341.0,412.985,69
2025-05-09 14:00:00-04:00,413.15,413.23,412.74,412.83,25892.0,412.916,170
2025-05-09 14:15:00-04:00,412.81,413.0,412.47,412.52,27742.0,412.736,209
2025-05-09 14:30:00-04:00,412.57,412.9,412.56,412.74,13439.0,412.761,105
2025-05-09 14:45:00-04:00,412.8,413.16,412.77,413.01,11928.0,412.989,78
2025-05-09 15:00:00-04:00,413.02,413.65,413.02,413.33,60774.0,413.319,273
2025-05-09 15:15:00-04:00,413.32,413.38,412.93,413.01,58319.0,413.102,238
2025-05-09 15:30:00-04:00,412.9,413.03,412.49,412.67,59054.0,412.727,292
2025-05-09 15:45:00-04:00,412.7,412.9,412.31,412.46,134960.0,412.514,762
2025-05-12 09:30:00-04:00,422.95,423.61,422.16,423.0,215368.0,422.816,1203
2025-05-12 09:45:00-04:00,423.03,423.58,422.31,422.48,75520.0,422.891,452
2025-05-12 10:00:00-04:00,422.59,423.07,422.39,422.99,50212.0,422.744,259
2025-05-12 10:15:00-04:00,423.02,423.26,421.72,421.94,100881.0,422.658,479
2025-05-12 10:30:00-04:00,421.79,422.71,421.19,422.71,64474.0,421.721,353
2025-05-12 10:45:00-04:00,422.71,423.27,422.35,422.38,46965.0,422.913,196
2025-05-12 11:00:00-04:00,422.32,422.72,422.17,422.25,16327.0,422.467,135
